timestamp,event,app,bundle_id,title,url,category
2025-08-25T14:04:36+09:00,end,Google Chrome,com.google.Chrome,JSONとは？今更聞けない入門編！使い方やデータフォーマットについて解説 | PARK | データサイエンスに関する情報を発信,https://datamix.co.jp/media/datascience/introduction-to-json/#box1,ブラウジング
2025-08-25T14:04:36+09:00,start,Safari,com.apple.Safari,Goで作業履歴アプリ,https://chatgpt.com/c/68a99df9-6e1c-8323-aa40-4aa7b48a2d30?model=gpt-5-thinking,ブラウジング
2025-08-25T14:04:41+09:00,end,Safari,com.apple.Safari,Goで作業履歴アプリ,https://chatgpt.com/c/68a99df9-6e1c-8323-aa40-4aa7b48a2d30?model=gpt-5-thinking,ブラウジング
2025-08-25T14:04:41+09:00,start,Finder,com.apple.finder,,,その他
2025-08-25T14:05:06+09:00,end,Finder,com.apple.finder,,,その他
2025-08-25T14:05:06+09:00,start,Safari,com.apple.Safari,玉蘭祭各クラス待機時間ページ,file:///Users/kmg2022-40/Desktop/%E9%AB%98%E6%A0%A1%E3%81%BE%E3%81%A6%E3%82%99%E3%81%AE%E6%83%85%E5%A0%B1/hozon/komafes/itiran.html,ブラウジング
2025-08-25T14:05:16+09:00,end,Safari,com.apple.Safari,玉蘭祭各クラス待機時間ページ,file:///Users/kmg2022-40/Desktop/%E9%AB%98%E6%A0%A1%E3%81%BE%E3%81%A6%E3%82%99%E3%81%AE%E6%83%85%E5%A0%B1/hozon/komafes/itiran.html,ブラウジング
2025-08-25T14:05:16+09:00,start,Google Chrome,com.google.Chrome,JSONとは？今更聞けない入門編！使い方やデータフォーマットについて解説 | PARK | データサイエンスに関する情報を発信,https://datamix.co.jp/media/datascience/introduction-to-json/#box1,ブラウジング
2025-08-25T14:05:21+09:00,end,Google Chrome,com.google.Chrome,JSONとは？今更聞けない入門編！使い方やデータフォーマットについて解説 | PARK | データサイエンスに関する情報を発信,https://datamix.co.jp/media/datascience/introduction-to-json/#box1,ブラウジング
2025-08-25T14:05:21+09:00,start,Safari,com.apple.Safari,Goで作業履歴アプリ,https://chatgpt.com/c/68a99df9-6e1c-8323-aa40-4aa7b48a2d30?model=gpt-5-thinking,ブラウジング
2025-08-25T14:09:31+09:00,end,Safari,com.apple.Safari,Goで作業履歴アプリ,https://chatgpt.com/c/68a99df9-6e1c-8323-aa40-4aa7b48a2d30?model=gpt-5-thinking,ブラウジング
2025-08-25T14:09:31+09:00,start,Google Chrome,com.google.Chrome,JSONとは？今更聞けない入門編！使い方やデータフォーマットについて解説 | PARK | データサイエンスに関する情報を発信,https://datamix.co.jp/media/datascience/introduction-to-json/#box1,ブラウジング
2025-08-25T14:09:36+09:00,end,Google Chrome,com.google.Chrome,JSONとは？今更聞けない入門編！使い方やデータフォーマットについて解説 | PARK | データサイエンスに関する情報を発信,https://datamix.co.jp/media/datascience/introduction-to-json/#box1,ブラウジング
2025-08-25T14:09:36+09:00,start,Slack,com.tinyspeck.slackmacgap,,,その他
2025-08-25T14:09:53+09:00,end,Slack,com.tinyspeck.slackmacgap,,,その他
2025-08-25T14:09:53+09:00,start,Safari,com.apple.Safari,【チーム4】250825_仮説検証WS_ワークシート - Google スプレッドシート,https://docs.google.com/spreadsheets/d/1F6jUCpxiRFSzKRBJzLuHZofyJyVq3lQnyWKr6PEZwf0/edit?gid=0#gid=0,ドキュメント作業
2025-08-25T14:42:53+09:00,end,Safari,com.apple.Safari,【チーム4】250825_仮説検証WS_ワークシート - Google スプレッドシート,https://docs.google.com/spreadsheets/d/1F6jUCpxiRFSzKRBJzLuHZofyJyVq3lQnyWKr6PEZwf0/edit?gid=0#gid=0,ドキュメント作業
2025-08-25T14:42:53+09:00,start,Safari,com.apple.Safari,Goで作業履歴アプリ,https://chatgpt.com/c/68a99df9-6e1c-8323-aa40-4aa7b48a2d30?model=gpt-5-thinking,ブラウジング
2025-08-25T14:43:08+09:00,end,Safari,com.apple.Safari,Goで作業履歴アプリ,https://chatgpt.com/c/68a99df9-6e1c-8323-aa40-4aa7b48a2d30?model=gpt-5-thinking,ブラウジング
2025-08-25T14:43:08+09:00,start,Slack,com.tinyspeck.slackmacgap,,,その他
2025-08-25T14:43:18+09:00,end,Slack,com.tinyspeck.slackmacgap,,,その他
